id_scenario,icao24,runway,seconds_to_threshold
scenario_00,484fde,14L/32R,
scenario_01,344197,14L/32R,
scenario_02,3434ce,14L/32R,
scenario_03,4d2491,14L/32R,
scenario_04,347588,14L/32R,
scenario_05,71002a,14L/32R,
scenario_06,3453c9,18L/36R,
scenario_07,34604d,18L/36R,
scenario_08,0100dd,14L/32R,
scenario_09,3442cc,14L/32R,
scenario_10,020110,18R/36L,
scenario_11,3475c9,14L/32R,
scenario_12,344449,14L/32R,
scenario_13,34745a,14L/32R,
scenario_14,3444c3,14L/32R,
scenario_15,39e689,14L/32R,
scenario_16,7812a1,14L/32R,
scenario_17,344218,14L/32R,
scenario_18,346147,18L/36R,
scenario_19,342211,14L/32R,
